Srno,Company,Timestamp,Title,Description
,Adani Enterprises,"29 Apr,2024, 03:19PM IST",Submission for interaction with investors,Submission for interaction with investors
,Adani Enterprises,"28 Apr 2024, 03:01PM IST",Q4 results this week: Adani group to lead as 211 companies will declare earnings,"With 211 companies announcing quarterly results this week, investors are particularly watching out for major names like Kotak Mahindra Bank, DMart, Ultratech Cement, Indian Oil, and many others across various industries."
,Adani Enterprises,"27 Apr,2024, 11:50PM IST",Submission of Media Release,Submission of Media Release
,Adani Enterprises,"27 Apr,2024, 04:53PM IST",Intimation for interaction with investors.,Intimation for interaction with investors.
,Adani Enterprises,"26 Apr 2024, 07:35PM IST",Adani arm completes 49% acquisition in Adani Esyasoft Smart Solutions,"Earlier reports said that the deal aims to pave the way for the development of smart solutions such as smart metering software, load forecasting, revenue maximisation, and other efficiency-based software products and solutions for utilities, both in India and globally. The agreement between these companies will see Adani and Esyasoft Holding have 49% and 51% shareholding, respectively, in Adani Esyasoft Smart Solutions Ltd."
,Adani Enterprises,"26 Apr,2024, 07:15PM IST","Intimation for Acquisition of 49% stake of Adani Esyasoft Smart Solutions Limited, Abu Dhabi, by Adani Global Limited, a WOS of the Company","Intimation for Acquisition of 49% stake of Adani Esyasoft Smart Solutions Limited, Abu Dhabi, by Adani Global Limited, a WOS of the Company"
,Adani Enterprises,"25 Apr,2024, 04:24PM IST","ADANI ENTERPRISES LTD.has informed BSE that the meeting of the Board of Directors of the Company is scheduled on 02/05/2024 ,inter alia, to consider and approve Standalone and Consolidated Audited Financial Results of the Company for the quarter and year ended 31st March, 2024","ADANI ENTERPRISES LTD.has informed BSE that the meeting of the Board of Directors of the Company is scheduled on 02/05/2024 ,inter alia, to consider and approve Standalone and Consolidated Audited Financial Results of the Company for the quarter and year ended 31st March, 2024"
,Adani Enterprises,"24 Apr 2024, 09:34AM IST",How GQG's $11 billion India empire is growing fast beyond Adani,"Rajiv Jain's GQG empire in India has expanded to $11 billion, diversifying beyond Adani stocks to include stocks from various sectors like energy, banks, real estate. The portfolio now comprises a wide range of stocks."
,Adani Enterprises,"24 Apr 2024, 01:03AM IST",NCLT admits insolvency resolution plea against listed infra firm Sadbhav Engineering,"“The applicant (SS Infra) has proved before us that the outstanding operational debt is more than rupees one crore, which is due to the applicant by the respondent and that the respondent (Sadbhav Engineering) has defaulted in payment,” said the division bench of judicial member Shammi Khan and technical member Sameer Kakar, in its order of April 22."
,Adani Enterprises,"23 Apr 2024, 06:25AM IST",GIFT Nifty up 10 points; here's the trading setup for today's session,"""This week, the US will be releasing GDP and core PCE data which will provide direction to the market while stock specific actions will be seen as we progress into the earnings season,"" said Siddhartha Khemka, Head - Retail Research, Motilal Oswal."
,Adani Enterprises,"23 Apr 2024, 06:20AM IST","Stocks in news: Tata Consumer, ICICI Pru, RIL, Adani Enterprises, Hero MotoCorp","Shares of Tata Consumer, ICICI Pru, Tata Elxsi, M&M Finance, 360 One Wam, MCX and Cyient DLM will be in focus as the companies will announce their fourth quarter results today."
,Adani Enterprises,"22 Apr 2024, 12:09AM IST",AdaniConneX in talks with banks to raise $900-950 million,"AdaniConneX secures $900-950 million loan from MUFG Bank for 1 GW data centre expansion in multiple Indian cities. The loan, with an interest rate above SOFR, aims to support Adani Group's venture into the data centre business."
